Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L;UVic-ESCM-2-10
0.0;286.827554363094;287.65;287.42;286.715700395;13.35;286.9000830157195;286.5198;286.86152;288.17665;286.56549072265625
1.0;286.9378884511452;287.7;287.60;286.726467097;13.55;287.0214511900717;286.539;286.86824;288.16394;286.58819580078125
2.0;286.9552052955105;287.79;287.59;286.72884445200003;13.39;287.02981173056605;286.6612;286.901676;288.03488;286.607666015625
3.0;287.0982351642766;287.6;287.38;286.6555548;13.35;286.92605186132346;286.673;286.864109;288.11108;286.62615966796875
4.0;287.09093293490474;287.74;287.55;286.784626223;13.28;286.9503612438566;286.4976;286.912289;288.16312;286.6441955566406
5.0;287.1062301844767;287.84;287.57;286.829009123;13.32;287.0860001998898;286.504;286.846505;288.17784;286.66070556640625
6.0;287.1018702676852;287.73;287.55;286.98797190700003;13.44;287.0946469376124;286.5978;286.971052;288.23941;286.6795349121094
7.0;287.0940431359696;287.63;287.79;286.953363946;13.43;287.3330946094976;286.7896;286.876819;288.18057000000005;286.701171875
8.0;287.1053503585189;287.47;287.88;286.89805002;13.45;287.35766386603206;286.8344;286.885108;288.19738;286.7210693359375
9.0;287.21661209733526;287.49;287.76;286.989201113;13.52;287.3970680528888;286.7033;287.145562;288.44239;286.74029541015625
10.0;287.0733201118365;287.5;287.84;287.042701984;13.49;287.38495174009427;286.6541;287.081401;288.45344;286.7621765136719
11.0;286.978503752408;287.65;287.77;287.054139524;13.63;287.23283681178;286.6986;286.976259;288.21749;286.7861328125
12.0;287.17869103836694;287.7;287.99;286.859100877;13.65;287.28449207052324;286.805;287.130163;288.18684;286.806884765625
13.0;287.1958104799872;287.87;287.91;286.962295929;13.59;287.46158514443863;286.9946;287.271424;288.35253;286.8291320800781
14.0;287.161711559557;288.03;287.89;287.14393279;13.72;287.45478175047623;287.0228;287.183814;288.65058;286.85479736328125
15.0;287.2484313964844;288.12;288.10;286.960052777;13.83;287.3227950889316;286.8306;287.202603;288.42245;286.87744140625
16.0;287.2223866083851;288.12;288.12;286.865632361;13.63;287.48544237046474;286.8332;287.090494;288.29833;286.9017028808594
17.0;287.26358441914607;288.22;288.15;286.92127575;13.79;287.4386317680785;286.9654;287.191492;288.29459;286.9264831542969
18.0;287.30443817556727;287.91;288.09;287.08312540400004;13.83;287.2958348764742;286.9065;287.189958;288.2721;286.95831298828125
19.0;287.18194454663427;287.91;288.03;287.374770465;13.83;287.5243988258051;287.1767;287.237881;288.41831;286.98681640625
20.0;287.22867774440823;288.12;288.07;287.236043885;13.78;287.5825347941181;287.1061;287.411712;288.63911;287.01483154296875
21.0;287.34094054339687;288.06;288.15;287.2142369;13.78;287.6848992816349;287.029;287.219829;288.84285;287.04241943359375
22.0;287.47071675339794;287.98;288.06;287.299195503;13.91;287.85194021194286;287.0524;287.382388;288.53776;287.06646728515625
23.0;287.5152318667059;288.06;288.23;287.519525726;13.85;287.8496370868748;286.9916;287.554776;288.36846;287.08892822265625
24.0;287.6459135708744;288.08;288.22;287.353916422;13.94;287.52464539134945;286.9521;287.31054;288.42774;287.11163330078125
25.0;287.36486038835085;288.13;288.28;287.37624876;14.0;287.7056953383973;287.0213;287.321915;288.64671;287.1318359375
26.0;287.4646100606004;287.97;288.34;287.4263321;13.97;287.6981103254285;287.0305;287.421;288.82076;287.15350341796875
27.0;287.5571784868633;288.01;288.40;287.511424392;13.97;287.54082895321;287.1917;287.551394;288.5993;287.1764221191406
28.0;287.6273238508669;288.09;288.38;287.660076831;14.06;287.590063452325;287.1572;287.53893;288.46357;287.19891357421875
29.0;287.34126177226034;288.14;288.26;287.675315641;14.08;287.86994836766746;287.1844;287.449673;288.59413;287.2258605957031
30.0;287.3118353020656;288.43;288.29;287.694906225;14.11;287.931142894978;287.2756;287.488155;288.61004;287.25640869140625
31.0;287.5054795356646;288.47;288.41;287.848396018;14.29;287.88641759089114;287.3288;287.519171;288.8564;287.2846374511719
32.0;287.58314601950457;288.18;288.48;287.558506765;14.34;287.94526200509137;287.353;287.509627;288.79716;287.3091125488281
33.0;287.3058288574219;288.33;288.42;287.599229413;14.44;288.1842858641025;287.3401;287.566929;288.64281;287.3348083496094
34.0;287.3231460362265;288.42;288.45;287.918261208;14.58;288.21289081273744;287.2655;287.650561;288.5752;287.3589782714844
35.0;287.6158127876177;288.23;288.50;288.113058197;14.52;288.1256025713136;287.3824;287.501384;288.82341;287.38763427734375
36.0;287.86912900323745;288.22;288.53;287.901090913;14.32;288.23431053922224;287.5187;287.688341;288.97846;287.4181213378906
37.0;287.4885514768836;288.19;288.64;288.003222909;14.31;288.08336352846976;287.4978;287.763261;288.8502;287.44720458984375
38.0;287.46409560948206;288.35;288.68;288.019769227;14.5;287.9628617606558;287.3751;287.532415;288.87795;287.47650146484375
39.0;287.7536324278949;288.48;288.57;287.98675164;14.51;288.09555907568506;287.4287;287.569099;289.18821;287.5082702636719
40.0;287.8060803557096;288.23;288.55;287.975887728;14.57;288.55066144418373;287.5729;287.77262;289.21737;287.5371398925781
41.0;287.5712234288046;288.35;288.67;287.910907043;14.71;288.4120693717785;287.4656;287.726279;288.88645;287.5683288574219
42.0;287.60911079302235;288.67;288.71;288.06327139;14.73;288.1026650140543;287.3967;287.82006;288.76975;287.5987854003906
43.0;287.8022368966717;288.71;288.76;288.27439362900003;14.81;288.20356500826693;287.4434;287.982071;288.89832;287.6282043457031
44.0;287.8893371582032;288.58;288.87;288.375304763;14.67;288.31574918544464;287.6967;287.91504;289.22604;287.65753173828125
45.0;287.9259730508884;288.37;288.87;288.451832947;14.76;288.5155374545648;287.838;287.890259;289.40547000000004;287.6888732910156
46.0;287.6851717178136;288.62;288.94;288.501754432;14.86;288.35034670955;287.8475;287.844424;289.19012000000004;287.7192077636719
47.0;287.7896493572079;288.79;288.90;288.448564895;14.94;288.3001415538066;287.7125;287.835718;288.96928;287.75177001953125
48.0;287.9523101388592;288.66;288.81;288.421880176;15.07;288.5739176105826;287.7225;288.003016;289.03937;287.78363037109375
49.0;288.0303123996683;288.58;288.74;288.48366513900004;15.11;288.6471890686305;287.8127;287.935693;289.19769;287.8165588378906
50.0;288.0118088813677;288.53;288.76;288.505216505;15.18;288.496087450921;287.6978;287.944974;289.38214;287.848876953125
51.0;288.10510479652726;288.42;288.82;288.513032953;15.24;288.7248349709073;287.7753;287.788736;289.39709;287.88153076171875
52.0;288.2162635280662;288.53;288.90;288.60481431;15.12;288.78147338847356;287.9523;287.97677;289.03635;287.91339111328125
53.0;287.8821819148652;288.68;288.94;288.688941935;15.23;288.6557257383491;287.9769;288.100471;289.0309;287.9457702636719
54.0;287.90206014554803;288.95;288.86;288.532158223;15.32;288.8324274869678;287.9463;288.023205;289.17051000000004;287.97955322265625
55.0;288.16933401447454;288.88;288.95;288.617628296;15.25;288.7625580456031;288.1077;288.202166;289.41665;288.01226806640625
56.0;288.04953529671445;288.93;289.15;288.803130533;15.35;288.9582591334436;288.1112;288.128724;289.46424;288.0452575683594
57.0;288.0205848171287;288.85;289.10;288.797404692;15.4;288.8224434488092;287.9688;287.995212;289.1216;288.0788879394531
58.0;288.08224203031364;288.83;289.19;288.737629057;15.39;288.83427883486235;288.0363;288.27232;289.20052000000004;288.1103820800781
59.0;288.08655721586047;288.91;289.25;288.711924771;15.47;288.92068675502543;288.1472;288.346076;289.46216;288.1439208984375
60.0;288.3287672068976;289.09;289.27;288.756876526;15.62;289.0560275341846;288.1588;288.089042;289.79081;288.1776123046875
61.0;288.2691468957353;289.28;289.36;288.832705826;15.57;289.10891942319734;288.33;288.200657;289.50365;288.21051025390625
62.0;288.01402069509845;289.1;289.29;288.794059364;15.65;289.07172387582705;288.208;288.351322;289.38302000000004;288.243896484375
63.0;288.12935356244645;288.61;289.32;289.005910745;15.6;289.04830072710297;288.2406;288.458585;289.51998;288.2752685546875
64.0;288.0910450556507;288.73;289.36;289.036548714;15.57;289.0649494438612;288.3438;288.39284;289.71465;288.3075256347656
65.0;287.9543880932953;289.01;289.50;289.191853685;15.51;289.09075428177823;288.1422;288.349862;289.75816000000003;288.3387451171875
66.0;288.1452374183969;289.01;289.61;289.214935481;15.66;288.93542095069216;288.2085;288.485085;289.55285;288.3695983886719
67.0;288.17206027932366;288.82;289.57;289.227054045;15.72;289.0548857;288.2896;288.580844;289.31538;288.3991394042969
68.0;288.02016484508783;288.79;289.47;289.191144494;15.7;289.20556597;288.1821;288.568573;289.26629;288.4219055175781
69.0;287.9708669166043;289.13;289.54;289.132089158;15.66;289.20101958;288.4018;288.524078;289.30826;288.4356994628906
70.0;288.0680543664384;289.08;289.70;289.210887258;15.57;289.0069881;288.2646;288.625358;289.39369;288.4468688964844
71.0;288.1638840766803;288.71;289.72;289.146419583;15.66;289.22312102;288.1997;288.651352;289.63579;288.45367431640625
72.0;288.31853311617084;288.57;289.58;289.02103401;15.6;289.24076286;288.2112;288.590766;289.5931;288.46002197265625
73.0;288.0438402985874;288.74;289.69;289.015084602;15.55;289.07442041;288.3787;288.670327;289.268;288.46282958984375
74.0;287.8430159059289;289.1;289.47;289.233983521;15.56;289.26875417;288.2627;288.693535;289.40467;288.4653015136719
75.0;287.9872870458316;289.2;289.60;289.284811583;15.59;289.23611772;288.2835;288.799512;289.65433;288.4674987792969
76.0;287.820304473459;289.05;289.52;289.358924726;15.45;289.38609683;288.3289;288.76086;289.67872;288.4690246582031
77.0;287.8958562981593;288.8;289.36;289.348029888;15.51;289.35994021;288.1553;288.625335;289.30744;288.469482421875
78.0;287.93775768541315;288.84;289.38;289.348343276;15.59;289.15791575;288.3691;288.71938;289.14877;288.46966552734375
79.0;287.9978588365529;288.91;289.47;289.374096701;15.58;289.22173077;288.4125;288.750017;289.38793;288.4693603515625
80.0;287.94147430837967;288.93;289.51;289.142516481;15.5;288.99991517;288.2511;288.701035;289.70513;288.4694519042969
