,ACCESS-ESM1-5,CESM2,CNRM-ESM2-1,GFDL-ESM4,MPI-ESM1-2-LR,NorESM2-LM,UKESM,UVic-ESCM-2-10
0,14.27,13.7501,13.7114612147922,13.34,13.49,14.5,286.86713,286.5636901855469
1,14.45,13.8714,13.7181809259981,13.3,13.53,14.55,286.72736,286.5855407714844
2,14.44,13.8798,13.7516168354695,13.33,13.72,14.64,286.72686,286.60528564453125
3,14.23,13.776,13.7140496514919,13.42,13.84,14.45,286.71104,286.6213073730469
4,14.4,13.8004,13.7622306266421,13.38,13.7,14.59,286.67455,286.6394958496094
5,14.42,13.936,13.6964445274938,13.48,13.63,14.69,286.79602,286.6592102050781
6,14.4,13.9446,13.8209915073593,13.4,13.54,14.58,286.81965,286.68060302734375
7,14.64,14.1831,13.7267603898202,13.54,13.58,14.48,287.00699,286.70123291015625
8,14.73,14.2077,13.7350480638126,13.37,13.66,14.32,286.9492,286.7231140136719
9,14.61,14.2471,13.9955033173437,13.33,13.78,14.34,286.90314,286.7447509765625
10,14.69,14.2349,13.9313415238901,13.6,13.88,14.35,286.98978,286.7659606933594
11,14.62,14.0828,13.8261995899632,13.8,13.87,14.5,287.04813,286.7877197265625
12,14.84,14.1345,13.9801050292882,13.49,13.96,14.55,287.02692,286.8082275390625
13,14.76,14.3116,14.1213647249951,13.48,14.05,14.72,286.86704,286.8302001953125
14,14.74,14.3048,14.0337553179629,13.49,13.99,14.88,286.96975,286.8542175292969
15,14.95,14.1728,14.05254282768,13.64,14.04,14.97,287.14243,286.8752746582031
16,14.97,14.3354,13.9404351701872,13.8,13.91,14.97,286.95009,286.8973388671875
17,15.0,14.2886,14.041432707592,13.78,13.92,15.07,286.86623,286.9208984375
18,14.94,14.1458,14.0398991509368,13.54,14.04,14.76,286.92493,286.94635009765625
19,14.88,14.3744,14.0878197986598,13.57,14.16,14.76,287.1243,286.97369384765625
20,14.92,14.4325,14.261650717788,13.62,14.03,14.97,287.35313,287.0052795410156
21,15.0,14.5349,14.0697700621438,13.73,13.9,14.91,287.24139,287.03631591796875
22,14.91,14.7019,14.2323273803155,13.81,13.87,14.83,287.21896,287.06304931640625
23,15.08,14.6996,14.4047182789847,13.79,13.93,14.91,287.32705,287.0874328613281
24,15.07,14.3746,14.1604812470166,13.63,14.09,14.93,287.51321,287.1103210449219
25,15.13,14.5557,14.1718552739945,13.73,14.11,14.98,287.36428,287.1330871582031
26,15.19,14.5481,14.2709405392055,13.69,14.2,14.82,287.35546,287.1544494628906
27,15.25,14.3908,14.401334183598,13.87,14.12,14.86,287.43492,287.1782531738281
28,15.23,14.4401,14.3888714650153,13.82,14.15,14.94,287.52205,287.2027282714844
29,15.11,14.7199,14.2996140913469,13.75,13.97,14.99,287.67548,287.2300720214844
30,15.14,14.7811,14.3380954608988,13.84,14.18,15.28,287.66488,287.25799560546875
31,15.26,14.7364,14.3691135347925,14.12,14.32,15.32,287.69787,287.2842712402344
32,15.33,14.7953,14.3595696283938,13.78,14.42,15.03,287.85321,287.3094787597656
33,15.27,15.0343,14.4168700696018,13.92,14.38,15.18,287.53964,287.3355712890625
34,15.3,15.0629,14.5005020797462,14.12,14.27,15.27,287.61755,287.3625183105469
35,15.35,14.9756,14.3513249505174,14.17,14.27,15.08,287.94714,287.3871765136719
36,15.38,15.0843,14.5382818737619,13.97,14.38,15.07,288.09991,287.41754150390625
