ACCESS-ESM1-5,CESM2,GFDL-ESM4,GISS,NorESM2-LM,MPI-ESM1-2-LR,CNRM-ESM2-1,UKESM,UVic-ESCM-2-10,HadCM3LC-Bris
289.34042,284.584088787571,285.58774,286.5994873046875,284.2613361752782,[284.9072],287.6896411898941,290.9604,287.958,282.43081826280473
293.38358,288.6913357491097,289.96945,290.90478515625,287.4123646537882,[288.40778],292.0988038717656,294.4771,292.8773,285.6524225020911
297.0186,292.5258685489754,293.0261,294.8922119140625,290.736813556457,[292.492],296.58650256313916,297.726,297.44217,289.4658754716888
300.75018,295.9073121749963,296.14133,297.89385986328125,294.1992662319877,[296.45483],300.3691136809679,300.696,301.68692,292.448046251639
304.32303,299.1987463328348,299.53485,301.38238525390625,297.7111421630845,[298.98688],304.250018137869,303.4035,305.67148,295.40912318789464
307.90457,302.22583209220124,303.20776,305.28515625,300.93588589616445,[302.1507],307.30576605000994,306.7748,309.4279,298.79621703501795
310.92294,305.4067494393354,306.5004,308.7112121582031,304.05214007998086,[306.0027],310.54269895349563,310.0094,313.0105,301.28841189311987
313.52588,308.6063895113254,309.76263,311.5931091308594,307.16730248706,[309.2145],313.833804477182,312.6173,316.429,303.5196455435501
316.44827,311.5247212242061,311.38596,314.4814453125,310.0783647994315,[311.069],316.777053163675,315.2789,319.71506,305.46089830457674
319.4505,313.9774021138551,315.12448,317.9770202636719,313.1987206069857,[313.63373],319.5433266092554,317.8519,322.88635,307.62380963615124
321.399,316.78444651264,317.9194,320.949462890625,316.30890098271226,[316.24435],322.0797862731963,320.6868,325.96164,310.6606057857523
323.09134,319.80140227323886,319.72226,323.32135009765625,318.98568527033996,[318.9951],325.08017398625174,323.7989,328.9326,313.3566337446022
325.24893,322.5570481727837,320.9174,325.95428466796875,321.5798421386951,[322.3281],327.5110106306374,325.997,331.83838,315.5770455965666
327.03635,325.0205213570928,323.98538,329.07452392578125,324.65380978743116,[324.99506],329.7182238744586,328.0681,334.6807,317.4422984307002
328.47308,327.7083908772055,327.57852,331.51971435546875,327.1719240891752,[326.8968],332.1337557592946,330.7328,337.47702,320.0591819592997
330.8737,330.29659766279815,329.9161,333.827392578125,329.5078800002529,[328.77383],334.6124801859955,333.2834,340.21796,322.8460847769623
332.68112,332.9312156851954,332.8201,336.59918212890625,332.05764874422636,[330.60837],336.8013176335227,335.2665,342.92307,324.4065654151756
334.79266,335.358239231118,334.7879,339.95501708984375,334.55993733985,[332.874],339.3733189975798,337.7466,345.5774,325.09056827098993
337.3844,338.10806588917046,337.6087,342.82037353515625,337.004002002117,[335.18817],341.70037179472666,340.9892,348.19122,327.16127554628656
339.1432,340.28311199145435,339.62695,345.4560852050781,339.3806884805937,[338.22882],344.2807205686025,343.607,350.7742,329.96004965368064
341.35034,342.7024327003247,342.2499,348.2477111816406,341.8917481460704,[340.85828],346.40745252623634,345.5912,353.3198,331.07084869095894
343.40292,345.0801064685628,344.3711,351.11663818359375,344.1107605116805,[342.6107],348.4832198812099,347.8911,355.82718,332.01269500915635
345.6882,347.4377688153845,346.57666,353.7854309082031,346.34928750670025,[344.037],350.6667840963898,350.3694,358.30228,333.5787309984712
348.00204,349.82055860143254,348.49567,355.9364013671875,348.5600381298872,[346.3502],353.4319087156123,351.4353,360.73163,335.76779667701123
351.05502,352.10799310167965,350.25925,358.20965576171875,350.7358093032092,[347.98166],354.854580271598,353.0305,363.14038,337.55088705784624
352.97357,354.47894721728363,353.11273,360.8880920410156,352.938010164776,[350.24747],356.8916000288191,355.0247,365.528,338.96704519704457
354.61197,356.9290758047824,355.5999,363.6837158203125,355.15357429695496,[353.4132],359.59683789391175,357.2729,367.90024,339.6170933382399
356.45914,358.79325835581733,356.60434,366.43585205078125,357.3723219358388,[356.2624],362.31478027324033,359.8649,370.26108,340.79162317344463
358.87186,360.69127743519,357.83997,368.5675354003906,359.4262795048779,[357.24173],364.13216313189395,362.1253,372.60748,342.1768334921965
